1754;539;2599156.1,1220440.7,2599182.2,1220448.8
1266;860;2611824.9,1255165,2622489.6,1262409.6
542;438;2640938.3,1250094.6,2640946.8,1250101.5
650;323;2615091.4,1231002.8,2619978,1233431.1
1069;963;2606172.2,1232381.5,2606187.2,1232395
1849;810;2592961,1255372.4,2623289.8,1268658.7
1841;679;2600266.1,1232289.2,2604259.8,1233762.2
511;743;2615294.2,1227165.3,2615891.4,1228033.6
1718;817;2617871.7,1243113.5,2639588.4,1253441
1801;915;2595065.6,1217635.4,2595405.3,1217808
911;480;2597220.5,1228662.6,2598953,1229575.5
858;1036;2608388.2,1244055.8,2613560.5,1250301.2
1031;701;2641190.2,1251098.1,2642632,1252078.4
1359;421;2637680.1,1243564.9,2637703.5,1243572.1
1816;868;2596706.2,1245502.7,2601356.1,1247725.3
1194;672;2617463.8,1254253.4,2619493.2,1255395.6
839;781;2601859.1,1230597.8,2601872,1230609.8
907;491;2611056.8,1224433.7,2611109.4,1224462.2
1058;908;2602621.2,1226145.5,2609084.9,1231692.8
1260;761;2611159.8,1248466.9,2611181.8,1248480.2
1744;860;2598460.9,1231581.7,2598842.5,1231769.9
548;932;2598944,1221439.6,2600525.4,1224129
1379;778;2599045.4,1253478.7,2601956.4,1255121
1520;780;2592932.7,1250210.5,2621209,1264720.7
1441;345;2635912.8,1251204,2638730,1251878.5
1001;911;2616848.4,1220522.2,2626783.1,1229563.7
1140;849;2615310.6,1240609.1,2615703.4,1240901.7
524;488;2597839.7,1229777.5,2597858.3,1229794.7
1738;844;2602462.1,1227556.7,2622666.7,1237368.4
1774;1008;2603320.6,1236607.9,2610796.2,1240855.6
841;1038;2636969.2,1245543.7,2644258.2,1254540.2
1276;917;2612539.4,1244798.8,2612561.7,1244814.9
1341;818;2626744.2,1240906.1,2633981.2,1245320.6
1379;743;2610043.1,1236884.1,2611781.6,1237820.8
511;380;2626998.8,1240344.3,2627027.9,1240365.9
1688;469;2616955.8,1254524.4,2617026.3,1254544
1053;680;2618880.8,1236210.8,2628722,1242565.9
894;1057;2641839.4,1250807.8,2646407.9,1256209.2
1131;519;2614637.8,1223980.5,2617410.1,1225252.6
817;996;2622172.5,1233349.6,2623535.6,1235011.4
701;393;2606235.4,1228900.7,2607233.1,1229460
1903;537;2623424.8,1238296,2625496,1238880.4
537;722;2616893.6,1242496.8,2616940.1,1242559.4
997;889;2613094.5,1250871.7,2614022.5,1251699.1
1722;315;2610787.8,1235354.6,2610814.7,1235359.5
1114;512;2619188.8,1243956.3,2625161.9,1246701.6
592;1025;2621023.5,1237847,2621051.3,1237895
564;400;2608689.8,1260044.6,2617065.9,1265985.1
700;611;2603675.1,1219053.1,2603689,1219065.3
1479;524;2597857.5,1220823.4,2599520.7,1221412.7
1743;696;2591231.5,1246309,2604650.1,1251667.2
1410;1026;2602486.1,1246226.6,2603312.2,1246827.7
1328;655;2615651.7,1223093.2,2622057.6,1226252.8
687;767;2628528.3,1237995.1,2628775.3,1238270.8
1029;649;2599257.4,1226145.9,2600256.7,1226776.2
1403;592;2619900.9,1241973.3,2646533.7,1253211.1
1262;784;2606551.5,1227420.6,2607244.3,1227851
1582;699;2640653.4,1243176.1,2641976.1,1243760.6
985;552;2612170.7,1242000.5,2614719.3,1243428.8
664;894;2628147,1242732.2,2628255.3,1242878
1036;592;2603916.9,1222517.1,2604135.5,1222642
1841;329;2600532.6,1249089.3,2600566.7,1249095.4
1275;302;2603661.3,1257513.3,2611012.5,1259254.6
1408;1075;2608078.2,1256165.9,2613415.3,1260240.7
1079;326;2605499.1,1257477.5,2607938.2,1258214.5
1805;483;2594972.1,1235995.6,2622239.8,1243292.2
1220;624;2598006.8,1251776.4,2598068.6,1251808
1426;1075;2631808.5,1240302.3,2634110.5,1242037.7
941;500;2619841.5,1241600.6,2619980.1,1241674.2
1664;1046;2622467.3,1234078.1,2630500.3,1239127.6
657;711;2612895.5,1239074.5,2613815.3,1240070
1096;400;2612238.7,1251201.2,2612503.7,1251297.9
696;637;2606340.9,1259911.6,2609300.3,1262620.1
1907;533;2627961.2,1243819.7,2629782.8,1244328.8
1076;423;2605617.4,1257773.7,2618704.6,1262918.6
1687;981;2593016.4,1232253.7,2619728.1,1247786.7
1441;903;2611783,1241217.8,2612765.4,1241833.5
1276;560;2610725.3,1249931.4,2610759.7,1249946.5
1358;457;2598962.5,1259553.7,2599024.3,1259574.5
1002;567;2623060.7,1240040.8,2623417.4,1240242.6
591;764;2640192.3,1247574,2642192.3,1250159.4
1879;476;2598860,1235036.2,2617487.3,1239755
1606;307;2616066.3,1240601.9,2640853.9,1245340.2
770;567;2594565.1,1228776.8,2594635.1,1228828.3
